kmeans_cluster,datetime_hour,svr1,upload_bitrate_mbps,download_bitrate_mbps,target_latency,target_throughput,latency_lag_1h,throughput_lag_1h,latency_rolling_3h,throughput_rolling_3h,latency_rolling_6h,throughput_rolling_6h,hour_sin,hour_cos,dow_sin,dow_cos,hour_of_day,day_of_week,zone_count
0,2022-07-08 02:00:00,64.16010660980811,9.858086582947784,19.994046197253553,70.07133838383838,33.304838709677426,62.76946411384573,32.96936958234831,81.40066404386464,38.63537739356688,80.98519694046601,34.59787920449647,0.4999999999999999,0.8660254037844387,-0.433883739117558,-0.9009688679024191,2,4,34
0,2022-07-08 03:00:00,49.43333333333334,10.5,23.725806451612904,51.11682989690722,24.484513274336283,99.125,28.341724137931035,87.7106411413259,33.335531891964706,88.87474049214676,39.314093421864094,0.7071067811865476,0.7071067811865476,-0.433883739117558,-0.9009688679024191,3,4,27
0,2022-07-08 04:00:00,16.194006309148264,12.488693586698338,34.497166666666665,75.17977081384471,38.88058600127551,52.24668711656441,47.03208333333333,64.33088482311491,47.00407738095238,63.43733991223144,63.7982052050173,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,4,4,1
0,2022-07-10 19:00:00,45.146831896551724,12.723866379310344,20.64976037823343,58.50941929133859,26.969024691358022,69.20429656357388,33.304838709677426,78.6089102864807,33.87661482288422,82.71305525654549,33.64024836349374,-0.9659258262890684,0.2588190451025203,-0.7818314824680299,0.6234898018587334,19,6,24
0,2022-07-10 20:00:00,44.656666666666666,12.698395245170875,13.786865439248253,51.601764705882346,25.99843655589124,48.58423913043478,27.96884544361888,63.135313029461294,26.801749735533765,64.58064735128322,27.931995665685275,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,20,6,13
0,2022-07-10 21:00:00,50.129171934260434,11.05582165659869,14.296722274972987,65.39770855734767,29.231039258654775,47.630722891566265,24.89363685881474,56.269131068138044,27.257497385854407,59.87768513616296,24.771410340994457,-0.7071067811865477,0.7071067811865474,-0.7818314824680299,0.6234898018587334,21,6,12
0,2022-07-10 22:00:00,43.435057471264365,11.367350993377483,13.181839762611276,47.88461538461539,24.643813559322037,60.74784090909091,27.162526636225262,65.70132276432423,27.32720957895224,62.279740067314144,29.559890455718094,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,22,6,33
0,2022-07-10 23:00:00,43.37194029850747,8.518060101392784,10.824334386103434,50.127230649946064,27.063212583693115,55.41133333333333,24.729908027567465,66.46104163549623,25.869183886428132,68.9679356376673,27.68395763368699,-0.2588190451025215,0.965925826289068,-0.7818314824680299,0.6234898018587334,23,6,36
0,2022-07-11 00:00:00,38.92144458455934,11.733051469106442,14.398121881056202,66.5666630095854,34.390806623931624,52.343547880690735,19.08023368016579,62.64237206677993,24.22456840631864,67.14276461902385,28.892920360400133,0.0,1.0,0.0,1.0,0,0,32
0,2022-07-11 01:00:00,45.4575221238938,11.128,15.523255840412622,45.49178571428572,31.471007751937982,45.72894736842105,27.36173553719008,49.897837651857145,25.661088005078067,57.03920743925074,26.30534823870684,0.2588190451025207,0.9659258262890684,0.0,1.0,1,0,23
